obs_id,location,observed_on,tmin_c,tmax_c,precip_mm,humidity_pct,wind_kph,frost_flag,source
83,,2025-07-22,29.3,37.7,0.0,38,21.6,False,VisualCrossing
84,,2025-07-23,29.3,38.8,0.0,21,23.0,False,VisualCrossing
85,,2025-07-24,26.6,40.6,0.0,12,19.4,False,VisualCrossing
86,,2025-07-25,27.1,42.7,0.0,10,21.8,False,VisualCrossing
87,,2025-07-26,27.0,41.0,0.0,10,21.1,False,VisualCrossing
88,,2025-07-27,27.8,42.7,0.0,12,15.5,False,VisualCrossing
89,,2025-07-28,29.9,43.8,0.0,12,20.3,False,VisualCrossing
90,,2025-07-29,31.5,42.8,0.0,15,23.3,False,VisualCrossing
91,,2025-07-30,31.0,43.2,0.0,16,30.6,False,VisualCrossing
92,,2025-07-31,31.6,43.7,0.0,22,23.2,False,VisualCrossing
93,,2025-08-01,33.3,44.2,0.0,23,19.3,False,VisualCrossing
94,,2025-08-02,32.7,45.5,0.0,13,23.6,False,VisualCrossing
95,,2025-08-03,29.2,44.2,0.0,12,20.3,False,VisualCrossing
96,,2025-08-04,30.6,43.3,0.0,17,18.2,False,VisualCrossing
97,,2025-08-05,32.0,44.9,0.0,16,19.9,False,VisualCrossing
98,,2025-08-06,33.2,46.1,0.0,16,23.4,False,VisualCrossing
99,,2025-08-07,34.8,47.7,0.0,12,28.5,False,VisualCrossing
100,,2025-08-08,33.7,45.5,0.0,17,29.1,False,VisualCrossing
