obs_id,location,observed_on,tmin_c,tmax_c,precip_mm,humidity_pct,wind_kph,frost_flag,source
83,,2025-07-22,19.9,25.8,0.0,51,20.0,False,VisualCrossing
84,,2025-07-23,21.0,26.7,0.0,59,23.7,False,VisualCrossing
85,,2025-07-24,21.4,30.3,0.0,57,22.3,False,VisualCrossing
86,,2025-07-25,24.6,34.9,2.375,62,20.2,False,VisualCrossing
87,,2025-07-26,23.9,28.7,0.0,54,18.4,False,VisualCrossing
88,,2025-07-27,22.8,29.2,0.092,69,17.6,False,VisualCrossing
89,,2025-07-28,25.0,34.3,0.0,55,13.0,False,VisualCrossing
90,,2025-07-29,26.0,36.8,0.0,54,19.3,False,VisualCrossing
91,,2025-07-30,25.9,35.6,7.148,54,20.2,False,VisualCrossing
92,,2025-07-31,19.3,31.4,9.863,75,23.6,False,VisualCrossing
93,,2025-08-01,17.5,22.8,0.686,74,23.2,False,VisualCrossing
94,,2025-08-02,17.7,26.6,0.0,58,16.1,False,VisualCrossing
95,,2025-08-03,18.2,28.5,0.0,49,13.0,False,VisualCrossing
96,,2025-08-04,20.3,31.1,0.0,46,10.4,False,VisualCrossing
97,,2025-08-05,22.0,29.1,0.0,60,15.9,False,VisualCrossing
98,,2025-08-06,20.2,25.4,0.185,66,18.0,False,VisualCrossing
99,,2025-08-07,19.0,26.0,0.98,62,19.6,False,VisualCrossing
100,,2025-08-08,17.9,26.9,0.0,52,17.6,False,VisualCrossing
