obs_id,location,observed_on,tmin_c,tmax_c,precip_mm,humidity_pct,wind_kph,frost_flag,source
83,,2025-07-22,22.3,30.7,0.0,58,19.0,False,VisualCrossing
84,,2025-07-23,23.1,33.9,0.0,61,26.6,False,VisualCrossing
85,,2025-07-24,24.3,34.5,6.238,73,31.7,False,VisualCrossing
86,,2025-07-25,23.8,28.1,62.898,81,13.6,False,VisualCrossing
87,,2025-07-26,23.2,28.8,2.742,78,16.1,False,VisualCrossing
88,,2025-07-27,24.0,31.5,0.089,76,20.8,False,VisualCrossing
89,,2025-07-28,26.0,33.5,0.159,70,38.8,False,VisualCrossing
90,,2025-07-29,22.6,33.6,0.0,57,19.7,False,VisualCrossing
91,,2025-07-30,21.4,27.8,3.709,76,30.6,False,VisualCrossing
92,,2025-07-31,20.5,25.3,0.282,64,32.6,False,VisualCrossing
93,,2025-08-01,18.8,24.2,0.0,55,25.7,False,VisualCrossing
94,,2025-08-02,16.4,26.0,0.0,50,18.4,False,VisualCrossing
95,,2025-08-03,17.9,26.2,0.0,56,22.3,False,VisualCrossing
96,,2025-08-04,20.0,27.5,0.0,58,19.9,False,VisualCrossing
97,,2025-08-05,20.1,28.3,0.0,61,20.9,False,VisualCrossing
98,,2025-08-06,20.7,30.9,0.0,63,17.6,False,VisualCrossing
99,,2025-08-07,23.9,32.2,0.0,60,19.3,False,VisualCrossing
100,,2025-08-08,24.1,33.4,0.0,62,28.4,False,VisualCrossing
