obs_id,location,observed_on,tmin_c,tmax_c,precip_mm,humidity_pct,wind_kph,frost_flag,source
83,,2025-07-22,14.8,25.5,0.0,66,17.3,False,VisualCrossing
84,,2025-07-23,14.3,28.2,0.0,62,12.9,False,VisualCrossing
85,,2025-07-24,14.1,24.6,0.0,69,16.8,False,VisualCrossing
86,,2025-07-25,13.4,21.3,0.045,74,14.4,False,VisualCrossing
87,,2025-07-26,13.4,21.7,0.0,66,13.6,False,VisualCrossing
88,,2025-07-27,13.7,25.0,0.0,59,10.2,False,VisualCrossing
89,,2025-07-28,13.9,27.1,0.0,56,12.1,False,VisualCrossing
90,,2025-07-29,15.7,28.6,0.0,49,15.8,False,VisualCrossing
91,,2025-07-30,16.5,28.1,0.0,51,14.9,False,VisualCrossing
92,,2025-07-31,17.2,26.3,0.0,58,10.4,False,VisualCrossing
93,,2025-08-01,14.8,25.0,0.0,66,11.7,False,VisualCrossing
94,,2025-08-02,15.5,22.2,0.0,74,12.9,False,VisualCrossing
95,,2025-08-03,14.7,21.5,0.0,68,10.8,False,VisualCrossing
96,,2025-08-04,15.4,22.2,0.0,67,13.7,False,VisualCrossing
97,,2025-08-05,15.0,25.5,0.0,61,16.4,False,VisualCrossing
98,,2025-08-06,16.7,22.8,1.08,78,22.9,False,VisualCrossing
99,,2025-08-07,14.2,20.9,0.276,67,14.6,False,VisualCrossing
100,,2025-08-08,13.2,24.9,0.0,60,14.1,False,VisualCrossing
