obs_id,location,observed_on,tmin_c,tmax_c,precip_mm,humidity_pct,wind_kph,frost_flag,source
83,,2025-07-22,19.9,29.3,0.0,84,19.6,False,VisualCrossing
84,,2025-07-23,21.5,32.1,0.0,86,20.2,False,VisualCrossing
85,,2025-07-24,23.7,32.8,0.0,83,25.1,False,VisualCrossing
86,,2025-07-25,23.4,31.5,0.0,82,14.5,False,VisualCrossing
87,,2025-07-26,22.7,31.4,13.501,90,21.1,False,VisualCrossing
88,,2025-07-27,22.8,31.6,0.0,86,15.7,False,VisualCrossing
89,,2025-07-28,23.5,31.9,6.879,87,16.6,False,VisualCrossing
90,,2025-07-29,23.3,32.7,0.0,78,20.8,False,VisualCrossing
91,,2025-07-30,21.7,30.4,2.263,88,20.2,False,VisualCrossing
92,,2025-07-31,19.1,24.7,2.162,82,26.2,False,VisualCrossing
93,,2025-08-01,16.5,25.9,0.0,70,20.2,False,VisualCrossing
94,,2025-08-02,15.5,24.9,0.0,64,25.6,False,VisualCrossing
95,,2025-08-03,14.2,25.9,0.0,64,15.3,False,VisualCrossing
96,,2025-08-04,17.7,27.0,0.0,74,21.1,False,VisualCrossing
97,,2025-08-05,17.2,28.5,0.126,72,14.2,False,VisualCrossing
98,,2025-08-06,18.3,30.4,0.0,75,9.4,False,VisualCrossing
99,,2025-08-07,20.6,31.1,0.0,81,15.1,False,VisualCrossing
100,,2025-08-08,21.0,31.7,0.0,80,21.4,False,VisualCrossing
